1595969099.196391,2020-07-29 02:14:59.196, Received on USB0: , 0x86
1595969100.227425,2020-07-29 02:15:00.227, Received on USB0: , 0x86
1595969101.258775,2020-07-29 02:15:01.258, Received on USB0: , 0x86
1595969102.290206,2020-07-29 02:15:02.290, Received on USB0: , 0x86
1595969103.325546,2020-07-29 02:15:03.325, Received on USB0: , 0x86
1595969104.356793,2020-07-29 02:15:04.356, Received on USB0: , 0x86
1595969105.388005,2020-07-29 02:15:05.387, Received on USB0: , 0x86
1595969106.418738,2020-07-29 02:15:06.418, Received on USB0: , 0x87
1595969107.452126,2020-07-29 02:15:07.451, Received on USB0: , 0x87
1595969108.531551,2020-07-29 02:15:08.531, Received on USB0: , 0x87
1595969109.72917,2020-07-29 02:15:09.728, Received on USB0: , 0x86
1595969110.891711,2020-07-29 02:15:10.891, Received on USB0: , 0x86
1595969111.922855,2020-07-29 02:15:11.922, Received on USB0: , 0x86
1595969112.958527,2020-07-29 02:15:12.958, Received on USB0: , 0x87
1595969113.989833,2020-07-29 02:15:13.989, Received on USB0: , 0x87
1595969115.020769,2020-07-29 02:15:15.020, Received on USB0: , 0x87
1595969116.051652,2020-07-29 02:15:16.051, Received on USB0: , 0x86
1595969117.082808,2020-07-29 02:15:17.082, Received on USB0: , 0x86
1595969118.114629,2020-07-29 02:15:18.114, Received on USB0: , 0x87
1595969119.147271,2020-07-29 02:15:19.147, Received on USB0: , 0x87
1595969120.179022,2020-07-29 02:15:20.178, Received on USB0: , 0x86
1595969121.212002,2020-07-29 02:15:21.211, Received on USB0: , 0x86
1595969122.247433,2020-07-29 02:15:22.247, Received on USB0: , 0x87
1595969123.282858,2020-07-29 02:15:23.282, Received on USB0: , 0x87
1595969124.314456,2020-07-29 02:15:24.314, Received on USB0: , 0x87
1595969125.345182,2020-07-29 02:15:25.345, Received on USB0: , 0x87
1595969126.376649,2020-07-29 02:15:26.376, Received on USB0: , 0x87
1595969127.40775,2020-07-29 02:15:27.407, Received on USB0: , 0x86
1595969128.439353,2020-07-29 02:15:28.439, Received on USB0: , 0x87
1595969129.470214,2020-07-29 02:15:29.469, Received on USB0: , 0x87
1595969130.503397,2020-07-29 02:15:30.503, Received on USB0: , 0x87
1595969131.534686,2020-07-29 02:15:31.534, Received on USB0: , 0x87
1595969132.566201,2020-07-29 02:15:32.565, Received on USB0: , 0x86
1595969133.59737,2020-07-29 02:15:33.597, Received on USB0: , 0x87
1595969134.6282,2020-07-29 02:15:34.628, Received on USB0: , 0x86
1595969135.659926,2020-07-29 02:15:35.659, Received on USB0: , 0x87
1595969136.690715,2020-07-29 02:15:36.690, Received on USB0: , 0x86
1595969137.721779,2020-07-29 02:15:37.721, Received on USB0: , 0x87
1595969138.753227,2020-07-29 02:15:38.752, Received on USB0: , 0x87
1595969139.784764,2020-07-29 02:15:39.784, Received on USB0: , 0x87
1595969140.976158,2020-07-29 02:15:40.975, Received on USB0: , 0x87
1595969142.248703,2020-07-29 02:15:42.248, Received on USB0: , 0x87
