1595969097.127228,2020-07-29 02:14:57.127, Received on USB1: , 0x81
1595969098.160889,2020-07-29 02:14:58.160, Received on USB1: , 0x81
1595969099.194142,2020-07-29 02:14:59.193, Received on USB1: , 0x81
1595969100.225302,2020-07-29 02:15:00.225, Received on USB1: , 0x81
1595969101.256497,2020-07-29 02:15:01.256, Received on USB1: , 0x81
1595969102.287834,2020-07-29 02:15:02.287, Received on USB1: , 0x81
1595969103.323311,2020-07-29 02:15:03.323, Received on USB1: , 0x81
1595969104.3545,2020-07-29 02:15:04.354, Received on USB1: , 0x81
1595969105.385764,2020-07-29 02:15:05.385, Received on USB1: , 0x81
1595969106.416502,2020-07-29 02:15:06.416, Received on USB1: , 0x81
1595969107.450012,2020-07-29 02:15:07.449, Received on USB1: , 0x81
1595969108.529273,2020-07-29 02:15:08.529, Received on USB1: , 0x81
1595969109.726945,2020-07-29 02:15:09.726, Received on USB1: , 0x81
1595969110.889432,2020-07-29 02:15:10.889, Received on USB1: , 0x81
1595969111.9207,2020-07-29 02:15:11.920, Received on USB1: , 0x81
1595969112.956116,2020-07-29 02:15:12.955, Received on USB1: , 0x81
1595969113.987307,2020-07-29 02:15:13.987, Received on USB1: , 0x81
1595969115.01851,2020-07-29 02:15:15.018, Received on USB1: , 0x81
1595969116.049387,2020-07-29 02:15:16.049, Received on USB1: , 0x81
1595969117.080592,2020-07-29 02:15:17.080, Received on USB1: , 0x81
1595969118.11219,2020-07-29 02:15:18.111, Received on USB1: , 0x81
1595969119.145081,2020-07-29 02:15:19.144, Received on USB1: , 0x81
1595969120.176448,2020-07-29 02:15:20.176, Received on USB1: , 0x81
1595969121.209836,2020-07-29 02:15:21.209, Received on USB1: , 0x81
1595969122.24492,2020-07-29 02:15:22.244, Received on USB1: , 0x81
1595969123.281027,2020-07-29 02:15:23.280, Received on USB1: , 0x81
1595969124.312076,2020-07-29 02:15:24.311, Received on USB1: , 0x81
1595969125.342959,2020-07-29 02:15:25.342, Received on USB1: , 0x81
1595969126.374334,2020-07-29 02:15:26.374, Received on USB1: , 0x81
1595969127.405564,2020-07-29 02:15:27.405, Received on USB1: , 0x81
1595969128.436776,2020-07-29 02:15:28.436, Received on USB1: , 0x81
1595969129.467747,2020-07-29 02:15:29.467, Received on USB1: , 0x81
1595969130.501046,2020-07-29 02:15:30.500, Received on USB1: , 0x81
1595969131.532248,2020-07-29 02:15:31.532, Received on USB1: , 0x81
